P0 id;Nivel_PowerBI;Nivel_Qlik;Nivel_Tableau;Nivel_Metabase;Nivel_Looker;Nivel_Looker_Studio;Nivel_Amazon_Quicksight;Nivel_Alteryx;Nivel_Grafana;Nivel_Pentaho;Nivel_Excel;Domina_PowerBI;Domina_Qlik;Domina_Tableau;Domina_Metabase;Domina_Looker;Domina_Looker_Studio;Domina_Amazon_Quicksight;Domina_Alteryx;Domina_Grafana;Domina_Pentaho;Domina_Excel;UF;Idade
001b2d1qtli8t9z7oqgdhj001b2d4i0g;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;MG;30-34
0026aa3fwd78u0026asg7456tfkjg2cs;0,5;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;1;0;0;0;0;0;0;ES;30-34
00r21rb9pusd1b0v7ew00r21rw3dy69w;0,0;0,0;0,5;0,0;0,0;0,0;1,0;0,5;0,0;0,0;0,5;0;0;0;0;0;0;1;0;0;0;0;SP;35-39
00urm3jf2cek12w6ygue00urm3jzd17j;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;SP;22-24
00v0az4g792svil00vn6y1kfm9hq8vy9;1,0;0,0;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;0;0;0;0;0;0;0;0;0;0;MG;30-34
015qqbrh4rr015qje9gvkbsb7ti1n5df;0,5;0,0;0,0;0,5;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;RJ;30-34
01810y9hweneb018to8t1p8ubyn1o04m;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,5;0;0;0;0;0;0;0;0;0;0;0;SP;22-24
01k1i8w42ljmgee01k1eay1n1283ot23;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;SP;35-39
01n9nd73iv68k81iefenxv01n9nd7wjt;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;RJ;25-29
01v9nqn7mz93ace01v9ig2aswc6oy2zq;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;SP;25-29
01zusm1faol2k2601zlthh05cj7iqyit;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,5;0,0;1;0;0;0;0;0;0;0;0;0;0;SE;25-29
02cv39tv75nm2z9zhcv02cv379703hvs;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;PE;45-49
