UF;Nivel_SQL;Nivel_Python;Total_nivel;Domina_SQL;Domina_Python;Total_Pessoas;Total_pessoas_dominantes;Nivel_SQL_%;Nivel_Python_%;Nivel_Total_%
SP;700,6999999999999;970,5;1671,1999999999998;696;1026;2073;1722;0,1690062711046792;0,2340810419681621;0,20154365653642062
MG;195,0;268,8;463,8;188;285;557;473;0,17504488330341114;0,2412926391382406;0,20816876122082587
PR;165,6;219,79999999999998;385,4;170;236;420;406;0,19714285714285715;0,26166666666666666;0,2294047619047619
RJ;154,4;209,1;363,5;144;215;437;359;0,17665903890160184;0,23924485125858122;0,20795194508009154
RS;103,39999999999999;129,6;233,0;110;136;291;246;0,1776632302405498;0,222680412371134;0,20017182130584193
SC;97,1;127,1;224,2;102;138;250;240;0,19419999999999998;0,2542;0,22419999999999998
DF;52,7;83,8;136,5;44;86;175;130;0,15057142857142858;0,2394285714285714;0,195
BA;46,5;63,199999999999996;109,69999999999999;45;64;155;109;0,15;0,20387096774193547;0,17693548387096772
PE;46,1;61,9;108,0;51;67;124;118;0,18588709677419354;0,2495967741935484;0,21774193548387097
CE;45,0;61,9;106,9;45;67;134;112;0,16791044776119404;0,23097014925373133;0,1994402985074627
ES;42,0;58,6;100,6;43;66;106;109;0,19811320754716982;0,27641509433962264;0,2372641509433962
GO;31,8;45,5;77,3;30;49;93;79;0,17096774193548386;0,2446236559139785;0,20779569892473118
PB;21,0;31,2;52,2;22;35;55;57;0,19090909090909092;0,28363636363636363;0,23727272727272727
RN;14,2;23,6;37,8;14;25;44;39;0,16136363636363635;0,2681818181818182;0,21477272727272725
MT;17,0;19,7;36,7;17;21;47;38;0,18085106382978725;0,20957446808510638;0,19521276595744683
PA;10,3;18,3;28,6;9;19;33;28;0,15606060606060607;0,2772727272727273;0,21666666666666667
AM;6,7;17,1;23,8;4;18;29;22;0,11551724137931035;0,2948275862068966;0,20517241379310344
AL;8,1;15,4;23,5;7;16;31;23;0,13064516129032258;0,24838709677419354;0,18951612903225806
MS;8,7;12,1;20,799999999999997;9;12;29;21;0,15;0,20862068965517241;0,17931034482758618
SE;6,7;13,3;20,0;5;13;22;18;0,15227272727272728;0,3022727272727273;0,22727272727272727
MA;5,0;9,8;14,8;5;10;20;15;0,125;0,24500000000000002;0,185
PI;6,3999999999999995;7,3999999999999995;13,799999999999999;7;7;23;14;0,1391304347826087;0,1608695652173913;0,15
RO;2,5;2,0999999999999996;4,6;3;2;7;5;0,17857142857142858;0,14999999999999997;0,16428571428571428
TO;1,7999999999999998;2,0;3,8;2;2;9;4;0,09999999999999999;0,1111111111111111;0,10555555555555556
AP;0,4;2,3;2,6999999999999997;0;2;5;2;0,04;0,22999999999999998;0,13499999999999998
