UF,Nivel_SQL,Nivel_Python,Total_nivel,Domina_SQL,Domina_Python,Total_Pessoas,Total_pessoas_dominantes,Nivel_SQL_%,Nivel_Python_%,Nivel_Total_%
SP,"413,59999999999997","562,8","976,3999999999999",415,604,822,1019,"0,25158150851581507","0,3423357664233576","0,29695863746958634"
MG,"110,0","150,1","260,1",109,159,229,268,"0,24017467248908297","0,3277292576419214","0,2839519650655022"
PR,"94,39999999999999","127,2","221,6",97,139,184,236,"0,25652173913043474","0,3456521739130435","0,3010869565217391"
RJ,"93,7","119,2","212,9",88,125,185,213,"0,25324324324324327","0,32216216216216215","0,2877027027027027"
RS,"63,699999999999996","77,2","140,9",68,85,119,153,"0,2676470588235294","0,3243697478991597","0,29600840336134454"
SC,"52,199999999999996","72,0","124,19999999999999",54,77,101,131,"0,25841584158415837","0,3564356435643564","0,3074257425742574"
CE,"29,599999999999998","36,699999999999996","66,3",32,41,53,73,"0,2792452830188679","0,3462264150943396","0,3127358490566038"
ES,"27,0","39,1","66,1",26,42,52,68,"0,25961538461538464","0,37596153846153846","0,3177884615384615"
DF,"21,8","35,5","57,3",17,37,52,54,"0,20961538461538462","0,34134615384615385","0,2754807692307692"
PE,"25,2","31,2","56,4",28,33,45,61,"0,27999999999999997","0,3466666666666667","0,31333333333333335"
BA,"21,4","28,2","49,599999999999994",22,27,45,49,"0,23777777777777775","0,31333333333333335","0,2755555555555555"
GO,"17,9","23,599999999999998","41,5",17,26,33,43,"0,2712121212121212","0,35757575757575755","0,3143939393939394"
MT,"14,0","15,299999999999999","29,299999999999997",15,16,26,31,"0,2692307692307692","0,2942307692307692","0,28173076923076923"
PB,"9,6","15,8","25,4",8,17,20,25,"0,24","0,395","0,3175"
RN,"8,299999999999999","11,5","19,799999999999997",9,12,18,21,"0,2305555555555555","0,3194444444444444","0,27499999999999997"
PA,"6,2","10,2","16,4",6,12,12,18,"0,25833333333333336","0,425","0,3416666666666666"
SE,"4,5","9,6","14,1",3,9,13,12,"0,17307692307692307","0,3692307692307692","0,27115384615384613"
AM,"3,7","9,4","13,100000000000001",2,10,11,12,"0,16818181818181818","0,4272727272727273","0,2977272727272728"
AL,"4,1","8,0","12,1",3,8,12,11,"0,1708333333333333","0,3333333333333333","0,2520833333333333"
MS,"5,1","6,1","11,2",5,6,9,11,"0,2833333333333333","0,33888888888888885","0,3111111111111111"
MA,"3,5","4,1","7,6",4,4,6,8,"0,2916666666666667","0,3416666666666666","0,31666666666666665"
PI,"2,9","3,6999999999999997","6,6",3,4,5,7,"0,29","0,37","0,32999999999999996"
TO,"1,7999999999999998","2,0","3,8",2,2,3,4,"0,3","0,3333333333333333","0,31666666666666665"
RO,"1,1","0,7","1,8",1,0,3,1,"0,18333333333333335","0,11666666666666665","0,15"
AP,"0,0","1,0","1,0",0,1,1,1,"0,0","0,5","0,25"
